frame,0_x,0_y,0_z,0_visibility,1_x,1_y,1_z,1_visibility,2_x,2_y,2_z,2_visibility,3_x,3_y,3_z,3_visibility,4_x,4_y,4_z,4_visibility,5_x,5_y,5_z,5_visibility,6_x,6_y,6_z,6_visibility,7_x,7_y,7_z,7_visibility,8_x,8_y,8_z,8_visibility,9_x,9_y,9_z,9_visibility,10_x,10_y,10_z,10_visibility,11_x,11_y,11_z,11_visibility,12_x,12_y,12_z,12_visibility,13_x,13_y,13_z,13_visibility,14_x,14_y,14_z,14_visibility,15_x,15_y,15_z,15_visibility,16_x,16_y,16_z,16_visibility,17_x,17_y,17_z,17_visibility,18_x,18_y,18_z,18_visibility,19_x,19_y,19_z,19_visibility,20_x,20_y,20_z,20_visibility,21_x,21_y,21_z,21_visibility,22_x,22_y,22_z,22_visibility,23_x,23_y,23_z,23_visibility,24_x,24_y,24_z,24_visibility,25_x,25_y,25_z,25_visibility,26_x,26_y,26_z,26_visibility,27_x,27_y,27_z,27_visibility,28_x,28_y,28_z,28_visibility,29_x,29_y,29_z,29_visibility,30_x,30_y,30_z,30_visibility,31_x,31_y,31_z,31_visibility,32_x,32_y,32_z,32_visibility
1,0.6721253395080566,0.3213164806365967,-0.6282932162284851,0.9986756443977356,0.6962034702301025,0.32749348878860474,-0.622504711151123,0.9983730316162109,0.6979538202285767,0.33594030141830444,-0.622562050819397,0.9982681274414062,0.6996279954910278,0.3444634675979614,-0.6228283047676086,0.9987181425094604,0.6939510703086853,0.30095529556274414,-0.6568403840065002,0.9985865354537964,0.6946026086807251,0.2877946197986603,-0.656973123550415,0.9982408285140991,0.69529128074646,0.2747834324836731,-0.6570450663566589,0.9981725215911865,0.7071069478988647,0.31953349709510803,-0.5001353025436401,0.9992883801460266,0.696904182434082,0.23187445104122162,-0.6542700529098511,0.9992281198501587,0.6632399559020996,0.3173397481441498,-0.5682118535041809,0.9990962743759155,0.6622146368026733,0.27990931272506714,-0.6132043600082397,0.9992415904998779,0.6745976805686951,0.2685050666332245,-0.306129515171051,0.999937891960144,0.6259357333183289,0.10538113117218018,-0.5890437960624695,0.9992475509643555,0.5828056335449219,0.24410660564899445,-0.12314645200967789,0.35613906383514404,0.5072901248931885,0.03644248843193054,-0.4694191515445709,0.8966633081436157,0.5039113759994507,0.19879460334777832,-0.03510895371437073,0.19241835176944733,0.4557796120643616,0.19089865684509277,-0.28404250741004944,0.46807897090911865,0.4745691418647766,0.18968895077705383,-0.02908017858862877,0.18064095079898834,0.4324607253074646,0.22855305671691895,-0.29380273818969727,0.37410804629325867,0.48038679361343384,0.18623623251914978,-0.0474579855799675,0.18569573760032654,0.45174139738082886,0.24478672444820404,-0.2927980422973633,0.3851509988307953,0.4895258843898773,0.18412739038467407,-0.03847600147128105,0.19821351766586304,0.4624575078487396,0.2281624972820282,-0.27728158235549927,0.35798516869544983,0.472909539937973,0.16484540700912476,0.09983546286821365,0.9995385408401489,0.4346831738948822,0.0695643424987793,-0.09966739267110825,0.9990033507347107,0.3584379553794861,0.3467792272567749,0.147081196308136,0.25760072469711304,0.2758307456970215,0.29972249269485474,-0.1445138305425644,0.7067034840583801,0.3081457018852234,0.23611865937709808,0.5165235996246338,0.04521620273590088,0.2977214753627777,0.1722097098827362,0.3395707309246063,0.07725158333778381,0.3057495951652527,0.20694631338119507,0.5585319995880127,0.07557687908411026,0.31365126371383667,0.1375274360179901,0.3996369242668152,0.17619068920612335,0.26413512229919434,0.2690061032772064,0.5988671183586121,0.05515522137284279,0.25389406085014343,0.1940515786409378,0.47768059372901917,0.10257131606340408
2,0.6642187833786011,0.3381079435348511,-0.7794939279556274,0.9986717700958252,0.6897832155227661,0.3449447751045227,-0.7816182971000671,0.9982443451881409,0.6926689147949219,0.35511499643325806,-0.7815992832183838,0.9981454610824585,0.6954122185707092,0.36536961793899536,-0.7818337678909302,0.9986091256141663,0.6846002340316772,0.31356385350227356,-0.8107865452766418,0.9985761046409607,0.6842362880706787,0.29944130778312683,-0.8110353350639343,0.9982767105102539,0.6839173436164856,0.28554949164390564,-0.8111129999160767,0.9981948733329773,0.7058681845664978,0.3446350395679474,-0.6630184650421143,0.9992079138755798,0.6806318163871765,0.23191377520561218,-0.7911030054092407,0.9992332458496094,0.658318281173706,0.3384624123573303,-0.7180355191230774,0.9990813136100769,0.645034670829773,0.29229891300201416,-0.7555922269821167,0.9992397427558899,0.6849142909049988,0.30536171793937683,-0.437102735042572,0.999937117099762,0.6125134229660034,0.10608912259340286,-0.6879842281341553,0.9992635846138,0.615175187587738,0.3193408250808716,-0.1969023048877716,0.36978834867477417,0.5006421208381653,0.04968394339084625,-0.5033286213874817,0.8980687856674194,0.518157958984375,0.24585725367069244,-0.034254882484674454,0.18781542778015137,0.45544368028640747,0.19768765568733215,-0.26609930396080017,0.453570157289505,0.48661237955093384,0.2276325225830078,-0.012402469292283058,0.17377617955207825,0.4324495196342468,0.23312829434871674,-0.2611752152442932,0.361467570066452,0.48573869466781616,0.22216938436031342,-0.02547456882894039,0.17821592092514038,0.4517132341861725,0.2460627257823944,-0.26357102394104004,0.37146466970443726,0.49502119421958923,0.2223365604877472,-0.033688079565763474,0.19062067568302155,0.4625154435634613,0.23060563206672668,-0.25839000940322876,0.34511104226112366,0.48601245880126953,0.1955171376466751,0.1014225110411644,0.9995383620262146,0.4388454854488373,0.07199438661336899,-0.10122436285018921,0.999015748500824,0.3571200668811798,0.38259968161582947,0.12887617945671082,0.25210046768188477,0.2585518956184387,0.28589919209480286,-0.1666325032711029,0.721642792224884,0.3378850817680359,0.1846771091222763,0.52255779504776,0.04467889666557312,0.3205432593822479,0.09335894882678986,0.3060553967952728,0.0894199013710022,0.34808892011642456,0.15562014281749725,0.5681540966033936,0.07434310764074326,0.3477369546890259,0.06655477732419968,0.36539632081985474,0.18749882280826569,0.297242671251297,0.16515327990055084,0.6321789622306824,0.054907094687223434,0.28831663727760315,0.07159222662448883,0.44826093316078186,0.11612750589847565
3,0.6686632037162781,0.34300968050956726,-0.8071327209472656,0.9987251162528992,0.694933295249939,0.3488607704639435,-0.8046005368232727,0.9982815384864807,0.7103700637817383,0.3572984039783478,-0.8045748472213745,0.9982001185417175,0.71257084608078,0.36351025104522705,-0.804835319519043,0.9986407160758972,0.6885130405426025,0.3159306049346924,-0.8337857127189636,0.9986358880996704,0.6874686479568481,0.3013981282711029,-0.8340057134628296,0.9983763098716736,0.6863963603973389,0.28713834285736084,-0.8340280652046204,0.9982813596725464,0.7117025852203369,0.34994322061538696,-0.6690549850463867,0.9992051720619202,0.6897971630096436,0.2334698736667633,-0.7979273796081543,0.9992591142654419,0.6687707901000977,0.3701933026313782,-0.7403646111488342,0.9990902543067932,0.6526205539703369,0.30054327845573425,-0.7781917452812195,0.9992451667785645,0.6887397766113281,0.31680530309677124,-0.44288530945777893,0.9999358654022217,0.6145064830780029,0.11300599575042725,-0.6945042610168457,0.9992631077766418,0.6081065535545349,0.31633278727531433,-0.20518970489501953,0.37415194511413574,0.501172661781311,0.06623468548059464,-0.4961733818054199,0.8935713768005371,0.5169535279273987,0.24815595149993896,-0.04283074289560318,0.183205246925354,0.47220391035079956,0.19199924170970917,-0.2193627804517746,0.429103285074234,0.4862436354160309,0.23329690098762512,-0.015286097303032875,0.16848637163639069,0.4561471939086914,0.21839739382266998,-0.20838157832622528,0.3424685299396515,0.4854820668697357,0.22638407349586487,-0.028855303302407265,0.17231272161006927,0.47288793325424194,0.22168421745300293,-0.21812570095062256,0.35167405009269714,0.4948599338531494,0.22541336715221405,-0.041902001947164536,0.1844232827425003,0.48245564103126526,0.2110239416360855,-0.21454839408397675,0.32726842164993286,0.48969364166259766,0.1979948878288269,0.10210287570953369,0.9995613098144531,0.4454100728034973,0.07812587171792984,-0.10190042108297348,0.9990645051002502,0.34742605686187744,0.3908463716506958,0.12883129715919495,0.2500241994857788,0.24916943907737732,0.27328625321388245,-0.17676962912082672,0.7394314408302307,0.3532853424549103,0.1918514221906662,0.5295575261116028,0.04283730685710907,0.3412751257419586,0.10215866565704346,0.30833327770233154,0.09744062274694443,0.3670274615287781,0.16782137751579285,0.5758010149002075,0.07107213139533997,0.37108010053634644,0.08319774270057678,0.3696165382862091,0.19062145054340363,0.32294028997421265,0.16894394159317017,0.6543058156967163,0.053241945803165436,0.32579201459884644,0.07723896950483322,0.44879794120788574,0.12618400156497955
4,0.6787499189376831,0.3621779978275299,-0.7565864324569702,0.9984608292579651,0.7098674178123474,0.34884852170944214,-0.7553070783615112,0.9979536533355713,0.7154642343521118,0.35664746165275574,-0.7552947998046875,0.9978625774383545,0.7177919149398804,0.36181721091270447,-0.7555610537528992,0.9984148144721985,0.6928836703300476,0.315584659576416,-0.7798007726669312,0.9983893632888794,0.69172203540802,0.301138699054718,-0.7799643278121948,0.9981051683425903,0.6904894113540649,0.28694599866867065,-0.7800315022468567,0.9979851841926575,0.7134023904800415,0.3508821725845337,-0.6250922679901123,0.998974621295929,0.6873511672019958,0.2288787066936493,-0.7423913478851318,0.9989057779312134,0.6814589500427246,0.37809091806411743,-0.6926955580711365,0.9989521503448486,0.6583978533744812,0.30509209632873535,-0.7247844934463501,0.9990617036819458,0.6852729916572571,0.3479166328907013,-0.44307833909988403,0.9999328255653381,0.6152230501174927,0.11889956891536713,-0.615257740020752,0.9990586042404175,0.6077954173088074,0.3499351143836975,-0.24153193831443787,0.4030018746852875,0.5107945203781128,0.062438398599624634,-0.4010983407497406,0.8661940693855286,0.5067652463912964,0.24350619316101074,-0.10057549178600311,0.2013198435306549,0.4787978231906891,0.16666652262210846,-0.15293148159980774,0.4051913022994995,0.47488123178482056,0.22582300007343292,-0.07944859564304352,0.17879976332187653,0.461439311504364,0.1861000508069992,-0.1331835836172104,0.3244868516921997,0.4721447825431824,0.22567929327487946,-0.08977442234754562,0.18232855200767517,0.475386381149292,0.18761157989501953,-0.14372727274894714,0.3335399925708771,0.48236823081970215,0.21928435564041138,-0.09679067134857178,0.1936202496290207,0.4910828173160553,0.18110772967338562,-0.14873787760734558,0.31162595748901367,0.488447368144989,0.22771017253398895,0.07792030274868011,0.9995665550231934,0.4494822025299072,0.09424159675836563,-0.07775043696165085,0.9990472197532654,0.32652410864830017,0.38931629061698914,0.08426102250814438,0.25694015622138977,0.25419852137565613,0.16988755762577057,-0.11288437992334366,0.7347666621208191,0.3443460166454315,0.22974520921707153,0.4719204902648926,0.04406291991472244,0.35241809487342834,0.09341486543416977,0.3138214349746704,0.09874311089515686,0.3573361933231354,0.2159682810306549,0.5192325115203857,0.07148140668869019,0.37731900811195374,0.08773235231637955,0.37517377734184265,0.18469004333019257,0.30945223569869995,0.19135375320911407,0.5704082250595093,0.054242465645074844,0.3375603258609772,0.07798948138952255,0.4397553503513336,0.1280660182237625
5,0.6654444932937622,0.33952856063842773,-0.7728074193000793,0.9983378648757935,0.6909934878349304,0.3377896547317505,-0.7756567597389221,0.9978326559066772,0.694052517414093,0.3477528393268585,-0.775626003742218,0.99775630235672,0.6965937614440918,0.35673031210899353,-0.7758845090866089,0.9983183145523071,0.6827474236488342,0.3036821782588959,-0.7997535467147827,0.998259961605072,0.6651111245155334,0.27478882670402527,-0.7999114990234375,0.9979780912399292,0.6644343733787537,0.2547096908092499,-0.7999668121337891,0.9978007078170776,0.7034196257591248,0.349519819021225,-0.645401120185852,0.9988653659820557,0.685818076133728,0.2250674068927765,-0.7540255188941956,0.9986896514892578,0.6627660393714905,0.3516901135444641,-0.7068122029304504,0.9988933801651001,0.6463911533355713,0.28894391655921936,-0.7384858131408691,0.9989309906959534,0.6746302843093872,0.3420444428920746,-0.44650211930274963,0.999933123588562,0.6171741485595703,0.11790841072797775,-0.6074721813201904,0.9988031983375549,0.604284405708313,0.34316402673721313,-0.20442037284374237,0.43157193064689636,0.5236821174621582,0.06110754609107971,-0.35966548323631287,0.8466764092445374,0.5051618814468384,0.25348570942878723,-0.06119924038648605,0.2362305074930191,0.48892712593078613,0.15569446980953217,-0.09331874549388885,0.3920721113681793,0.47362080216407776,0.23497982323169708,-0.028371959924697876,0.20623600482940674,0.4615193009376526,0.17387297749519348,-0.06688232719898224,0.3159787058830261,0.4722248911857605,0.22660234570503235,-0.049219828099012375,0.21041247248649597,0.47291478514671326,0.1798718273639679,-0.0817294642329216,0.32532012462615967,0.4823925495147705,0.22551339864730835,-0.05769430473446846,0.21869759261608124,0.4877018332481384,0.17608802020549774,-0.08867095410823822,0.30483853816986084,0.47894564270973206,0.2245132476091385,0.06291316449642181,0.9995763897895813,0.4491671621799469,0.09178920090198517,-0.06280098855495453,0.9989907741546631,0.3176747262477875,0.387188583612442,0.028927866369485855,0.27825093269348145,0.2553538382053375,0.1408921182155609,-0.10762598365545273,0.7252457141876221,0.3135673403739929,0.2302847057580948,0.455108106136322,0.05056191235780716,0.33925333619117737,0.09639616310596466,0.3533432185649872,0.09889093786478043,0.33022692799568176,0.21640031039714813,0.5046343803405762,0.07450810074806213,0.36164921522140503,0.09331437200307846,0.4129611849784851,0.17845208942890167,0.2670726180076599,0.19456350803375244,0.5315520167350769,0.05998656526207924,0.3134036958217621,0.08826626092195511,0.4434661269187927,0.12964250147342682
6,0.6936420798301697,0.3600468933582306,-0.7804337739944458,0.9982883930206299,0.7119050621986389,0.3385397791862488,-0.7719106674194336,0.9977909922599792,0.7198120355606079,0.34769487380981445,-0.7719061374664307,0.9976855516433716,0.7232638597488403,0.3561267554759979,-0.772171676158905,0.9982643723487854,0.7006077766418457,0.3056084215641022,-0.8017894625663757,0.998248815536499,0.6952149868011475,0.2815863788127899,-0.8019305467605591,0.9979644417762756,0.6707531213760376,0.2551829516887665,-0.8019413948059082,0.9977872967720032,0.7244658470153809,0.3392305374145508,-0.6192306280136108,0.9986599683761597,0.686373770236969,0.2243969589471817,-0.7504600286483765,0.9985921382904053,0.6698692440986633,0.35108309984207153,-0.7078080177307129,0.9986923933029175,0.6613700985908508,0.29854023456573486,-0.746719479560852,0.9987630248069763,0.6759983897209167,0.3306628465652466,-0.41345348954200745,0.9999256730079651,0.6158188581466675,0.12533409893512726,-0.6275766491889954,0.998568058013916,0.6052801609039307,0.3331904411315918,-0.19112756848335266,0.4313455820083618,0.523064911365509,0.06126401573419571,-0.39985978603363037,0.8319458961486816,0.5109270215034485,0.24748575687408447,-0.057928603142499924,0.23936817049980164,0.4934355318546295,0.15594741702079773,-0.13689613342285156,0.3750852048397064,0.4820733964443207,0.23296405375003815,-0.028713589534163475,0.2090481072664261,0.4773727357387543,0.1763184666633606,-0.11579640954732895,0.3036929965019226,0.4793269634246826,0.22281385958194733,-0.04980059713125229,0.21278561651706696,0.4896036982536316,0.18000462651252747,-0.12311311811208725,0.3126091957092285,0.4875817894935608,0.22180500626564026,-0.056469641625881195,0.22038601338863373,0.4984343945980072,0.17190022766590118,-0.1297166794538498,0.29306986927986145,0.47916293144226074,0.21672645211219788,0.07817595452070236,0.999569833278656,0.4484413266181946,0.09340908378362656,-0.07813934981822968,0.9989409446716309,0.32345131039619446,0.3963641822338104,0.07162599265575409,0.2808622121810913,0.2513582408428192,0.18922874331474304,-0.17988795042037964,0.7330697774887085,0.2923828363418579,0.26054298877716064,0.41979843378067017,0.05881470814347267,0.3432985246181488,0.10201463848352432,0.27040618658065796,0.10769446939229965,0.29792338609695435,0.24055923521518707,0.4596039652824402,0.0811973586678505,0.3678795099258423,0.09405457973480225,0.33028802275657654,0.18142396211624146,0.24697332084178925,0.2619056701660156,0.4993695318698883,0.06762709468603134,0.32193630933761597,0.09248195588588715,0.40514540672302246,0.1376418024301529
7,0.6902262568473816,0.3620195984840393,-0.8805466890335083,0.9984381198883057,0.7102029323577881,0.33877021074295044,-0.8756054639816284,0.9979828596115112,0.717032253742218,0.3494180738925934,-0.8755849599838257,0.9978854656219482,0.7204252481460571,0.3559357523918152,-0.875846266746521,0.9984145164489746,0.6996587514877319,0.305179625749588,-0.9015914797782898,0.9984021186828613,0.695152223110199,0.28238895535469055,-0.9017998576164246,0.9981435537338257,0.6741845011711121,0.2579239308834076,-0.9017661213874817,0.9979784488677979,0.7216931581497192,0.3413211703300476,-0.7164598107337952,0.9987701773643494,0.6832728981971741,0.21652908623218536,-0.8329644203186035,0.9987083673477173,0.6737390160560608,0.3637627363204956,-0.8046920895576477,0.9987940192222595,0.6612738370895386,0.29793184995651245,-0.8389040231704712,0.9988547563552856,0.676245927810669,0.3325212299823761,-0.49619635939598083,0.9999316334724426,0.6126102209091187,0.12003215402364731,-0.6875205636024475,0.9986488819122314,0.6007029414176941,0.33456671237945557,-0.26948845386505127,0.45821064710617065,0.5173817276954651,0.06796717643737793,-0.4719131588935852,0.8238322138786316,0.5027858018875122,0.25029781460762024,-0.1421889215707779,0.2633771002292633,0.4874081015586853,0.20106163620948792,-0.21711190044879913,0.3599296510219574,0.47337907552719116,0.23302608728408813,-0.1255534440279007,0.22687967121601105,0.46922868490219116,0.23473116755485535,-0.2056901454925537,0.292277067899704,0.47179776430130005,0.22247089445590973,-0.14894933998584747,0.23091983795166016,0.48451462388038635,0.23644739389419556,-0.2101905643939972,0.30048227310180664,0.4803842604160309,0.22297845780849457,-0.14304135739803314,0.2372077852487564,0.49419212341308594,0.22230078279972076,-0.20979642868041992,0.28170162439346313,0.4803895950317383,0.213748037815094,0.07864297926425934,0.999608039855957,0.44769302010536194,0.09174416959285736,-0.07852564007043839,0.9990332722663879,0.3207523226737976,0.405619740486145,0.07630633562803268,0.28790634870529175,0.23808510601520538,0.2036398947238922,-0.17022734880447388,0.7501201033592224,0.2935706675052643,0.30716267228126526,0.48963427543640137,0.07091188430786133,0.3413947522640228,0.05487550050020218,0.34555500745773315,0.1317054033279419,0.29828429222106934,0.28941401839256287,0.5400469899177551,0.09256572276353836,0.36995160579681396,0.04225616157054901,0.4153875708580017,0.19554933905601501,0.24848628044128418,0.32571038603782654,0.5804183483123779,0.08251434564590454,0.3147824704647064,0.01416466012597084,0.503240704536438,0.16136012971401215
8,0.672256588935852,0.35145655274391174,-0.8889902830123901,0.9985849857330322,0.6978753805160522,0.33872148394584656,-0.8854032754898071,0.9981675744056702,0.7016266584396362,0.3492223024368286,-0.8853543996810913,0.998081386089325,0.7053026556968689,0.3567330241203308,-0.8855910301208496,0.9985598921775818,0.6892861723899841,0.30461204051971436,-0.914234459400177,0.9985524415969849,0.6872828602790833,0.2829996645450592,-0.9144625663757324,0.998320460319519,0.6677150726318359,0.2516310513019562,-0.9144460558891296,0.9981677532196045,0.7157414555549622,0.34065738320350647,-0.7354475259780884,0.9988844394683838,0.6770355105400085,0.2083706557750702,-0.8642711639404297,0.9988321661949158,0.6629468202590942,0.35568898916244507,-0.8165398836135864,0.9989048838615417,0.655342161655426,0.29749244451522827,-0.8544516563415527,0.9989610910415649,0.6800341606140137,0.32857993245124817,-0.5029014348983765,0.9999375343322754,0.609237015247345,0.11610113829374313,-0.7301509380340576,0.9987739324569702,0.6001948714256287,0.337371826171875,-0.28249186277389526,0.4879232943058014,0.5172891020774841,0.06370499730110168,-0.517253041267395,0.8362181782722473,0.4956853985786438,0.27413204312324524,-0.18704746663570404,0.2975194752216339,0.4849846363067627,0.19933193922042847,-0.2687068581581116,0.37414461374282837,0.4655458331108093,0.2609774172306061,-0.16863322257995605,0.2548811733722687,0.4657697081565857,0.2334515005350113,-0.26791685819625854,0.3026307225227356,0.46409010887145996,0.2508460283279419,-0.20250752568244934,0.25864914059638977,0.48101806640625,0.2342797964811325,-0.27250078320503235,0.3100014328956604,0.4725271165370941,0.2491341233253479,-0.19269980490207672,0.2631939649581909,0.49143823981285095,0.22046595811843872,-0.26261574029922485,0.29078081250190735,0.48384881019592285,0.21413607895374298,0.0964406207203865,0.9996416568756104,0.4443821907043457,0.09116876125335693,-0.09636466950178146,0.9991232752799988,0.3248571753501892,0.4189985990524292,0.17101041972637177,0.28938814997673035,0.22906847298145294,0.26310062408447266,-0.17448528110980988,0.7726386189460754,0.38691145181655884,0.27484825253486633,0.5925387144088745,0.06820286810398102,0.3485680818557739,0.06674430519342422,0.34195080399513245,0.15728263556957245,0.3790491223335266,0.26677170395851135,0.64017653465271,0.08980388194322586,0.38367241621017456,0.05891748145222664,0.40777817368507385,0.21476799249649048,0.3411407768726349,0.2720278203487396,0.7395356893539429,0.0809449851512909,0.33454278111457825,-0.006870547775179148,0.5250247716903687,0.18625082075595856
9,0.7002336382865906,0.3501432240009308,-0.8402552604675293,0.9986888766288757,0.7244975566864014,0.3307473361492157,-0.8304370045661926,0.9983052015304565,0.727521538734436,0.333805650472641,-0.8304440379142761,0.9982150197029114,0.7366151213645935,0.3357771039009094,-0.8307248950004578,0.9986656904220581,0.7057520151138306,0.30521705746650696,-0.8551641702651978,0.9986591339111328,0.700931191444397,0.2861578166484833,-0.8553396463394165,0.9984325766563416,0.7010231018066406,0.25191715359687805,-0.8553563356399536,0.9982982873916626,0.7228355407714844,0.337048202753067,-0.6777517795562744,0.9989455938339233,0.6786656379699707,0.21243642270565033,-0.8559578657150269,0.9988898038864136,0.6977828145027161,0.36390769481658936,-0.7688986659049988,0.9989640712738037,0.6661311388015747,0.2970632016658783,-0.8007405996322632,0.999022364616394,0.6796833276748657,0.3188569247722626,-0.4628925323486328,0.9999383091926575,0.6033581495285034,0.12364731729030609,-0.6727575063705444,0.9988204836845398,0.5907832384109497,0.303006649017334,-0.2745573818683624,0.4871445894241333,0.5134965777397156,0.06265641003847122,-0.506695568561554,0.8108247518539429,0.4843672811985016,0.30861416459083557,-0.1903943568468094,0.30175626277923584,0.47944363951683044,0.19652456045150757,-0.25991901755332947,0.35298120975494385,0.458197683095932,0.32238566875457764,-0.1817261427640915,0.2617556154727936,0.4638509154319763,0.22931727766990662,-0.2593007981777191,0.2873089909553528,0.45392075181007385,0.3163023591041565,-0.2158162146806717,0.26604753732681274,0.47900891304016113,0.23282074928283691,-0.26753735542297363,0.29455554485321045,0.4598020613193512,0.30147770047187805,-0.19811531901359558,0.2704736590385437,0.4858179986476898,0.21937893331050873,-0.25650954246520996,0.2776693105697632,0.4836367666721344,0.21220913529396057,0.09652601182460785,0.9996112585067749,0.44074931740760803,0.10847894847393036,-0.09646430611610413,0.9991254210472107,0.35268449783325195,0.41094496846199036,0.14989155530929565,0.26840588450431824,0.2666689455509186,0.33464059233665466,-0.17238344252109528,0.7645986080169678,0.34398218989372253,0.28869712352752686,0.5674654245376587,0.06615535914897919,0.3337710499763489,0.08958371728658676,0.3091539144515991,0.1646692454814911,0.3334214985370636,0.26964330673217773,0.6277573704719543,0.08880067616701126,0.35643449425697327,0.06250947713851929,0.36849066615104675,0.22272025048732758,0.31258198618888855,0.3182834982872009,0.6170815229415894,0.0795058086514473,0.32352060079574585,0.040389347821474075,0.4176121652126312,0.19179770350456238
10,0.7043496370315552,0.34962892532348633,-0.8286352157592773,0.9987987279891968,0.7300625443458557,0.3257867693901062,-0.817559540271759,0.9984485507011414,0.7332619428634644,0.32603150606155396,-0.8175589442253113,0.9983575940132141,0.7379987835884094,0.32667258381843567,-0.8178207278251648,0.9987760186195374,0.7086926698684692,0.3060395419597626,-0.8391566276550293,0.998771071434021,0.7038033604621887,0.289345383644104,-0.8393363952636719,0.9985582828521729,0.7004226446151733,0.27343109250068665,-0.839367687702179,0.9984402656555176,0.7227044701576233,0.33481961488723755,-0.6623040437698364,0.9990124702453613,0.6796621084213257,0.22065939009189606,-0.7841819524765015,0.9989655017852783,0.6947096586227417,0.3620567321777344,-0.7578991651535034,0.9990341663360596,0.6692227721214294,0.2967497408390045,-0.7857797741889954,0.9990931153297424,0.6793529391288757,0.30676916241645813,-0.4482112526893616,0.9999362826347351,0.6002029776573181,0.15298816561698914,-0.6314380168914795,0.9988648891448975,0.5895334482192993,0.24495354294776917,-0.2617889940738678,0.47613757848739624,0.5133922696113586,0.07997561246156693,-0.48919597268104553,0.7956445813179016,0.48515886068344116,0.2938369810581207,-0.17043259739875793,0.299651563167572,0.4746013581752777,0.19516804814338684,-0.2844181954860687,0.3401459753513336,0.4600234627723694,0.2921975255012512,-0.16199921071529388,0.26471516489982605,0.46013760566711426,0.2274031937122345,-0.2862895727157593,0.27969837188720703,0.45564231276512146,0.28759998083114624,-0.19404099881649017,0.26908332109451294,0.47238889336586,0.23206157982349396,-0.2966657876968384,0.2870938777923584,0.46114102005958557,0.2764858603477478,-0.17775416374206543,0.2739570438861847,0.47798213362693787,0.2184954583644867,-0.28305643796920776,0.27237725257873535,0.4859148859977722,0.21098071336746216,0.09456370770931244,0.9995954036712646,0.4431825280189514,0.128502756357193,-0.09459170699119568,0.9991332292556763,0.3549329936504364,0.3781738579273224,0.06860695779323578,0.24851971864700317,0.29043588042259216,0.35841572284698486,-0.1691451519727707,0.7485780119895935,0.2986617982387543,0.22143802046775818,0.4141019880771637,0.06514201313257217,0.3080953359603882,0.11990071088075638,0.2202766388654709,0.17900791764259338,0.293209433555603,0.1910654753446579,0.4527489244937897,0.08987937122583389,0.3197926878929138,0.07907149195671082,0.26730018854141235,0.23768222332000732,0.2566564679145813,0.2479425072669983,0.45715516805648804,0.07936298847198486,0.278175413608551,0.09951965510845184,0.2933245003223419,0.20472317934036255
